
2021/10/04 (08:13:25) | DEBUG: Setting LC_ALL=en_US.UTF-8
2021/10/04 (08:13:25) | INFO: Running on /dev/pts/2

2021/10/04 (08:13:32) | ===> btop++ v.1.0.2
2021/10/04 (08:13:32) | INFO: Logger set to DEBUG
2021/10/04 (08:13:32) | DEBUG: Setting LC_ALL=en_US.UTF-8
2021/10/04 (08:13:32) | INFO: Running on /dev/pts/2
2021/10/04 (08:13:32) | ERROR: Runner thread died unexpectedly!
2021/10/04 (08:13:32) | INFO: Quitting! Runtime: 00:00:00

2021/10/04 (08:13:33) | ===> btop++ v.1.0.2
2021/10/04 (08:13:33) | INFO: Logger set to DEBUG
2021/10/04 (08:13:33) | DEBUG: Setting LC_ALL=en_US.UTF-8
2021/10/04 (08:13:33) | INFO: Running on /dev/pts/2
2021/10/04 (08:14:04) | DEBUG: Writing new config file
2021/10/04 (08:14:04) | INFO: Quitting! Runtime: 00:00:31

2021/10/04 (12:23:03) | ===> btop++ v.1.0.2
2021/10/04 (12:23:03) | INFO: Logger set to DEBUG
2021/10/04 (12:23:03) | DEBUG: Setting LC_ALL=en_US.UTF-8
2021/10/04 (12:23:03) | INFO: Running on /dev/pts/5
2021/10/04 (12:23:36) | INFO: Quitting! Runtime: 00:00:33

2021/10/04 (12:23:37) | ===> btop++ v.1.0.2
2021/10/04 (12:23:37) | INFO: Logger set to DEBUG
2021/10/04 (12:23:37) | DEBUG: Setting LC_ALL=en_US.UTF-8
2021/10/04 (12:23:37) | INFO: Running on /dev/pts/5

2021/10/04 (12:34:47) | ===> btop++ v.1.0.2
2021/10/04 (12:34:47) | INFO: Logger set to DEBUG
2021/10/04 (12:34:47) | DEBUG: Setting LC_ALL=en_US.UTF-8
2021/10/04 (12:34:47) | INFO: Running on /dev/pts/4
2021/10/04 (12:34:47) | ERROR: Runner thread died unexpectedly!
2021/10/04 (12:34:47) | INFO: Quitting! Runtime: 00:00:00

2021/10/04 (13:48:53) | ===> btop++ v.1.0.2
2021/10/04 (13:48:53) | INFO: Logger set to DEBUG
2021/10/04 (13:48:53) | DEBUG: Setting LC_ALL=en_US.UTF-8
2021/10/04 (13:48:53) | INFO: Running on /dev/pts/6
2021/10/04 (13:48:53) | ERROR: Runner thread died unexpectedly!
2021/10/04 (13:48:53) | INFO: Quitting! Runtime: 00:00:00

2021/10/04 (13:48:55) | ===> btop++ v.1.0.2
2021/10/04 (13:48:55) | INFO: Logger set to DEBUG
2021/10/04 (13:48:55) | DEBUG: Setting LC_ALL=en_US.UTF-8
2021/10/04 (13:48:55) | INFO: Running on /dev/pts/6

2021/10/06 (00:19:33) | ===> btop++ v.1.0.2
2021/10/06 (00:19:33) | INFO: Logger set to DEBUG
2021/10/06 (00:19:33) | DEBUG: Setting LC_ALL=en_US.UTF-8
2021/10/06 (00:19:33) | INFO: Running on /dev/pts/2
2021/10/06 (00:19:45) | DEBUG: Loading theme file: /usr/local/share/btop/themes/adapta.theme

2021/10/07 (12:11:50) | ===> btop++ v.1.0.2
2021/10/07 (12:11:50) | INFO: Logger set to DEBUG
2021/10/07 (12:11:50) | DEBUG: Setting LC_ALL=en_US.UTF-8
2021/10/07 (12:11:50) | INFO: Running on /dev/pts/0

2021/10/08 (08:21:32) | ===> btop++ v.1.0.2
2021/10/08 (08:21:32) | INFO: Logger set to DEBUG
2021/10/08 (08:21:32) | DEBUG: Setting LC_ALL=en_US.UTF-8
2021/10/08 (08:21:32) | INFO: Running on /dev/pts/2
2021/10/08 (08:21:50) | DEBUG: Writing new config file
2021/10/08 (08:21:50) | INFO: Quitting! Runtime: 00:00:18

2021/10/11 (08:58:47) | ===> btop++ v.1.0.2
2021/10/11 (08:58:47) | INFO: Logger set to DEBUG
2021/10/11 (08:58:47) | DEBUG: Setting LC_ALL=en_US.UTF-8
2021/10/11 (08:58:47) | INFO: Running on /dev/pts/2
2021/10/11 (09:07:39) | INFO: Quitting! Runtime: 00:08:52

2021/10/11 (13:10:51) | ===> btop++ v.1.0.2
2021/10/11 (13:10:51) | INFO: Logger set to DEBUG
2021/10/11 (13:10:51) | DEBUG: Setting LC_ALL=en_US.UTF-8
2021/10/11 (13:10:51) | INFO: Running on /dev/pts/1

2021/10/12 (12:16:52) | ===> btop++ v.1.0.2
2021/10/12 (12:16:52) | INFO: Logger set to DEBUG
2021/10/12 (12:16:52) | DEBUG: Setting LC_ALL=en_US.UTF-8
2021/10/12 (12:16:52) | INFO: Running on /dev/pts/3

2021/10/14 (09:46:22) | ===> btop++ v.1.0.2
2021/10/14 (09:46:22) | INFO: Logger set to DEBUG
2021/10/14 (09:46:22) | DEBUG: Setting LC_ALL=en_US.UTF-8
2021/10/14 (09:46:22) | ERROR: No tty detected!
btop++ needs an interactive shell to run.
2021/10/14 (09:46:22) | INFO: Quitting! Runtime: 00:00:00

2021/10/14 (09:48:26) | ===> btop++ v.1.0.2
2021/10/14 (09:48:26) | INFO: Logger set to DEBUG
2021/10/14 (09:48:26) | DEBUG: Setting LC_ALL=en_US.UTF-8
2021/10/14 (09:48:26) | INFO: Running on /dev/pts/6
